GESTURE_START_MIC
0.19 -0.08 1.03 -52.73 38.35 38.40 46.56
0.08 0.06 0.98 -1.32 -8.54 -6.89 48.50
0.08 0.05 0.98 -6.54 -0.12 -3.97 44.62
0.11 0.04 0.99 0.77 1.34 -1.11 39.77
0.09 0.05 0.99 -4.31 3.15 -0.28 41.71
0.10 0.03 0.97 0.97 0.09 -0.35 40.74
0.08 0.02 1.01 -0.28 -4.64 -1.88 42.68
0.10 0.02 0.98 0.77 -2.28 -0.97 41.71
GESTURE_START_MIC
-0.21 -0.95 0.18 -0.49 -0.96 -1.74 -164.90
-0.22 -0.96 0.19 0.00 0.23 -0.28 -163.93
-0.92 -1.28 0.40 10.57 -88.54 106.37 -108.64
-0.70 -0.70 0.18 157.22 -170.28 285.01 115.43
0.13 -0.02 0.63 -15.30 -68.85 139.55 24.25
0.14 -0.04 0.99 -38.40 9.83 49.53 58.20
0.00 0.09 0.99 3.55 -0.96 -5.70 82.45
0.02 0.09 0.97 -0.42 6.76 -2.09 78.57
-0.02 0.05 1.01 2.37 -0.12 -0.28 78.57
-0.01 0.05 1.00 -0.83 -0.12 0.42 81.48
-0.02 0.06 1.00 -1.32 0.57 0.00 82.45
0.00 0.05 1.00 0.21 2.31 0.07 84.39
GESTURE_START_MIC
-0.21 -0.96 0.19 0.63 -1.72 -0.35 -165.87
-0.88 -1.20 0.47 13.98 -53.62 65.18 -138.71
-0.71 -0.87 0.26 74.92 -227.60 197.63 78.57
-0.25 -0.21 0.63 12.24 -100.71 151.03 46.56
0.18 0.02 0.82 -24.14 5.10 82.78 23.28
0.09 0.01 0.97 6.96 6.21 15.51 46.56
0.02 0.02 1.00 -0.49 3.50 -3.48 50.44
0.03 0.02 0.99 -1.25 -1.10 -0.97 52.38
0.02 0.01 1.01 0.42 0.43 -0.21 55.29
0.03 0.02 0.99 -0.28 -0.68 -1.25 52.38
0.02 0.02 0.99 2.43 0.09 -0.35 56.26
0.03 0.01 1.01 0.77 0.29 0.35 58.20
GESTURE_START_MIC
-0.21 -0.96 0.19 0.63 1.69 2.23 -159.08
-0.70 -1.06 0.40 44.31 -72.96 24.56 -151.32
-0.99 -1.36 0.33 -46.47 -143.77 254.61 47.53
-0.13 -0.17 0.42 -28.10 -56.54 216.83 122.22
0.23 -0.21 0.78 10.50 -56.47 63.58 -2.91
0.16 -0.08 1.03 1.25 15.53 18.78 14.55
0.04 -0.00 1.01 10.50 3.98 15.03 29.10
0.07 0.00 0.97 -2.57 3.91 0.00 32.01
0.05 0.00 0.99 0.56 -3.32 -1.32 34.92
0.06 -0.00 0.99 -2.30 1.41 -2.23 32.01
0.05 -0.01 1.01 0.07 0.02 0.14 32.98
0.04 -0.00 0.99 -0.42 2.17 -0.83 36.86
GESTURE_START_MIC
-0.25 -0.97 0.17 0.14 -0.05 -5.91 -159.08
-0.22 -0.97 0.16 2.57 -1.58 2.16 -158.11
-0.22 -0.96 0.17 0.14 -0.82 -2.43 -156.17
-0.47 -1.06 0.42 49.25 37.65 12.59 -151.32
-1.11 -1.18 0.39 -18.16 -125.83 268.94 58.20
-0.13 -0.29 0.33 29.36 -142.66 175.86 47.53
0.21 0.00 0.84 -25.04 -2.70 56.49 0.97
0.05 0.00 1.02 5.43 -1.24 0.90 23.28
0.06 0.03 0.99 2.85 -1.51 -0.07 26.19
0.10 0.05 1.01 0.90 0.43 -1.60 25.22
0.08 0.02 1.00 -0.90 -0.61 -0.42 25.22
0.06 0.05 1.02 -0.90 2.31 -0.77 32.01
GESTURE_START_MIC
-0.22 -0.97 0.15 -2.09 -4.99 -3.55 -169.75
-0.45 -1.12 0.54 140.52 -87.70 16.14 -166.84
-0.61 -1.18 0.29 -25.18 -136.96 205.36 -5.82
-0.34 -0.29 0.46 44.66 -156.16 176.42 101.85
0.07 0.02 0.78 -16.90 -31.01 73.32 35.89
0.14 -0.00 1.03 1.74 -8.05 16.70 41.71
0.06 0.05 0.98 8.28 -3.88 -1.04 38.80
0.06 0.08 0.99 -0.70 0.50 -0.07 38.80
0.04 0.07 1.01 -1.74 0.50 -1.04 40.74
0.04 0.07 0.99 -2.64 -0.26 -1.39 42.68
0.06 0.06 0.99 -1.53 -0.05 -1.81 42.68
0.05 0.07 0.99 -1.46 1.62 1.04 39.77
GESTURE_START_MIC
-0.32 -1.00 0.28 21.63 10.73 6.47 -159.08
-0.94 -1.47 0.33 -14.75 -164.44 221.84 -60.14
-0.46 -0.36 0.35 9.25 -163.11 203.34 119.31
0.12 -0.07 0.74 -6.68 -45.97 90.64 32.98
0.11 -0.04 1.01 6.40 2.94 20.66 44.62
0.08 0.03 0.99 7.37 2.24 -8.77 39.77
0.05 0.07 1.01 -2.16 0.78 -0.63 49.47
0.04 0.05 1.01 -5.22 0.29 -3.27 57.23
0.02 0.04 1.00 0.42 4.82 3.83 57.23
0.02 0.05 0.98 1.11 0.36 -0.07 64.02
0.01 0.04 0.99 1.11 0.23 -0.83 57.23
0.02 0.04 0.99 1.04 -0.89 0.14 61.11
GESTURE_START_MIC
-0.26 -0.96 0.19 0.14 7.88 0.35 -155.20
-0.87 -1.28 0.59 -32.21 -142.38 237.15 -42.68
-0.41 -0.35 0.38 -4.59 -165.97 200.14 94.09
0.14 0.02 0.70 14.26 -45.06 81.25 10.67
0.21 0.09 0.98 5.15 9.69 16.14 13.58
0.07 0.10 1.01 -2.71 5.58 -1.88 26.19
0.08 0.11 0.99 -1.04 2.10 1.39 30.07
0.08 0.10 0.98 0.35 0.85 -0.07 31.04
0.07 0.09 1.01 0.56 -0.26 3.13 31.04
0.05 0.09 1.00 1.25 -0.40 -2.30 32.98
0.05 0.09 0.99 -0.14 -0.05 -0.42 34.92
0.06 0.10 1.00 -0.63 1.34 -0.21 36.86
GESTURE_START_MIC
-0.91 -1.18 0.45 62.89 -135.36 37.29 -171.69
-0.96 -1.04 0.32 58.37 -159.91 254.54 62.08
