************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 124
TimeSeriesData: 
-0.031	-0.0227	1.0174	-0.63	2.8535	2.2961
-0.031	-0.011	1.0174	-0.9778	3.6187	2.157
-0.0467	-0.0032	1.0018	-2.5083	0.3491	-0.7648
-0.0506	-0.0188	0.9979	-1.1865	-3.3378	-0.9735
-0.031	-0.0149	0.9979	-0.6996	-4.7987	-1.53
-0.0428	0.0007	1.0018	-2.23	-9.1813	-4.1735
0.0041	-0.0188	1.0135	-3.4822	-8.5552	-2.2257
0.0158	-0.0266	1.0291	-2.5778	6.2622	3.6178
-0.035	-0.0266	1.0096	-1.8126	8.5578	4.6613
-0.0428	-0.0227	1.0018	-2.7865	0.5578	1.7396
-0.0154	-0.0266	0.9979	-1.8822	0.21	0.0004
-0.0193	-0.0345	1.0057	0.2743	2.4361	1.4613
-0.035	-0.0188	1.0057	-0.0039	0.0013	0.9743
-0.0232	-0.0188	1.0057	-2.717	-0.8335	-0.9735
-0.0271	-0.0305	1.0096	-2.7865	1.4622	-0.4865
-0.035	-0.0305	1.0135	-2.23	5.2187	1.67
-0.0467	-0.0266	1.0057	-2.0909	5.497	2.2961
-0.0545	-0.0266	1.0096	-0.63	1.1839	1.4613
-0.0467	-0.0266	1.0135	-0.0039	-0.5552	0.3483
-0.0428	-0.0266	1.0096	-1.1865	2.0883	0.9743
-0.0389	-0.0305	1.0018	-1.6735	1.9491	2.5743
-0.0389	-0.0305	1.0057	-0.8387	0.21	1.3917
-0.0389	-0.0227	1.0057	-0.7691	-2.2943	-1.1126
-0.0193	-0.0305	1.0096	-2.2996	-1.9465	-0.0691
-0.0232	-0.0345	1.0057	-0.9778	2.1578	1.5309
-0.0506	-0.0266	1.0018	-1.6039	-1.7378	-1.043
-0.0428	-0.0345	1.0018	-1.4648	-3.1291	-0.5561
-0.0232	-0.0345	1.0135	-0.9083	3.9665	2.0874
-0.0584	-0.0384	1.0057	-0.3517	1.8796	1.0439
-0.0467	-0.0305	1.0174	-0.4213	-2.2943	0.0004
-0.0271	-0.0423	1.0213	-0.9083	2.4361	2.3657
-0.035	-0.0384	1.0174	-0.0039	6.123	3.4091
-0.0467	-0.0345	1.0018	0.1352	1.81	1.0439
-0.035	-0.0266	1.0135	-0.7691	0.0013	-0.6952
-0.0467	-0.0345	1.0096	-1.4648	2.4361	0.2091
-0.0545	-0.0345	1.0096	-1.117	1.0448	0.8352
-0.0584	-0.0305	1.0018	-1.6039	-0.8335	-0.7648
-0.0506	-0.0345	1.0135	-1.3952	-1.39	-0.1387
************TIME_SERIES************
ClassID: 18
TimeSeriesLength: 0
TimeSeriesData: 
************TIME_SERIES************
ClassID: 9
TimeSeriesLength: 0
TimeSeriesData: 
