ROLL,PITCH,YAW
0.11422693502115634,-0.6938520945988856,-1.319530066140449
0.06695917417394015,-0.5284323454776545,-1.3081399657547113
0.0511044906957481,-0.44199263603496386,-1.2942851460099425
0.030235621284074865,-0.3336287325277234,-1.2889799418217123
0.03126688433422131,-0.2970903204715258,-1.2986015292226156
0.039252989640648286,-0.30408324999438485,-1.3155946919991783
0.04604669715466986,-0.3030699587648756,-1.330990141193997
0.05146729165755679,-0.31062488305360847,-1.3475453274010027
0.05598132007866698,-0.33698709196275295,-1.365304793593719
0.0025665414563494234,-0.022705921623283658,-1.3456377760315306
0.017396798111486853,-0.08681930247081902,-1.3615927665648095
0.014522367036053073,-0.06677057355096648,-1.376757972154317
0.008502256826690898,-0.023869847558473,-1.3889602196102577
0.008843750177928945,-0.004052938461820038,-1.3941064209538918
0.002457214517491242,0.04826730990453839,-1.3974991660666056
-0.004397176910074523,0.10811259738404912,-1.4018263698995563
-0.00894542929683657,0.14215382192599077,-1.4057272405184507
-0.0014838861885226962,0.08851981920045093,-1.4045659514024924
0.003619754666652956,0.04390034119804666,-1.4001313907495698
0.0027300015320466746,0.04316535779318877,-1.3942180517947638
-0.00544516352936901,0.08247436944971832,-1.3848582776935583
-0.0019125191004099576,0.052365247621153695,-1.3721265325042535
-0.009249881560310683,0.08519022559549898,-1.3663392685305458
-0.052794472575832675,0.257685844381959,-1.3295166206552422
-0.0815714353898663,0.33315154388021884,-1.292799254796049
-0.09044841949267189,0.3203207949073465,-1.2695304089091775
-0.10757440411319652,0.2816255551738239,-1.2232039531307848
-0.119236708628436,0.2736604680262364,-1.1910951768960865
-0.16776049720287722,0.32389111071434495,-1.1350526743253517
-0.1982872978082835,0.329484034576924,-1.083255182610711
-0.2277610325300406,0.33123689345027046,-1.030815532142095
-0.24015800915776186,0.30862717071691037,-0.9841129101283637
-0.2516939342626969,0.2862723632315633,-0.9356598231438025
-0.2538391418757001,0.266273676810495,-0.8876773744877537
-0.25119577944442556,0.25149655218485795,-0.8407260280174051
-0.24595243005377918,0.23083632475305885,-0.797850231790421
-0.23581184433881486,0.2184653611677903,-0.7536307765631032
-0.2288348948005758,0.20137533015751455,-0.7089880398477818
-0.21444535300721307,0.18527471267128623,-0.6681618176844027
-0.21296929454945282,0.18302165392399694,-0.6298577786989238
-0.2088312177613143,0.17441167163098636,-0.5890282617509696
-0.20436518006183965,0.1595681679032058,-0.5457524626658933
-0.18952522538056377,0.12741113275395644,-0.4997677952861887
-0.1757836830015674,0.09829023218385133,-0.45700608059017855
-0.16957760124712434,0.07579599542979612,-0.41669703143625914
-0.16759363901406374,0.06435051222255608,-0.3836887389976338
-0.16918566610008667,0.054723548038368694,-0.35771099170939136
-0.1703732347808323,0.044408894406473554,-0.3341427190798635
-0.16909225678528989,0.03659463051365979,-0.30971079728927253
-0.1664274419470226,0.03155507738288232,-0.29437020537461855
-0.15938216445905481,0.02744943726256533,-0.2716982286434025
-0.15460329175663665,0.026821357521451303,-0.25438143836909843
-0.14266317585050198,0.022547631185411195,-0.22664575666612014
-0.15507621689249312,0.02491773170025189,-0.2000243016240685
-0.15458007817595693,0.029106624906466226,-0.17483886969138604
-0.14979161701405203,0.028223050007300157,-0.1597016441790631
-0.14636941965469072,0.027133327173392063,-0.1541550849283894
-0.14793880715790103,0.0301302922582324,-0.14643263128510678
-0.15376085751336585,0.037704679928167076,-0.1376055853112446
-0.15017686601873226,0.03647236998228155,-0.13373940283609626
-0.1500137665893429,0.039906154775510815,-0.12554057923107595
-0.15488654143609512,0.04480752705776116,-0.11839129558717837
-0.15583508078704503,0.04615554721058894,-0.115554172984874
-0.16675714423339788,0.05739877391865115,-0.11418915725220123
-0.18622281190131693,0.0654096620249213,-0.11872854306734043
-0.19145128566817549,0.07239946525103462,-0.1288290579057757
-0.19902203003665134,0.082499613231259,-0.14352784445054026
-0.1968988735876987,0.08595980511307937,-0.15731240273611724
-0.21349547010608202,0.06876838393600962,-0.17942058995612511
-0.20392280672552915,0.0742548625778338,-0.1977396749178198
-0.19591439990376994,0.08678068890058781,-0.2220479229702857
-0.19913985602153075,0.103510233250676,-0.24469565282124148
-0.20280019673974,0.12042049222588302,-0.272549246732574
