-0.44,0.43,0.80,-30.47,-29.83,6.47,23.28,14.06,-289.80
-0.70,0.39,0.42,-6.96,499.77,-165.15,214.37,-21.82,-160.65
-0.65,0.03,0.06,42.99,258.17,81.39,244.44,71.30,116.55
-0.66,0.33,-0.63,109.84,281.27,363.83,214.37,137.25,193.20
-0.53,0.39,-0.18,-247.03,-130.77,6.40,296.82,-123.67,-75.60
-1.05,0.27,0.31,-286.68,157.93,201.81,341.44,21.82,-61.95
-0.73,0.59,-0.15,433.32,-309.48,-139.55,260.93,-206.13,134.40
-0.12,0.52,1.19,1.60,-90.63,69.43,-2.91,-48.02,-319.20
-0.15,0.41,0.95,-32.28,29.79,-17.67,-24.25,3.40,-296.10
-0.17,0.36,0.92,-15.93,-6.87,-4.24,-8.73,28.61,-286.65
